SRC:   212 2021-10-17 08:18:17.285 UWB CNT: 11, DSTR: false, MODE: MOV, EXC: 0 WID:   222 GID:   228 BAT:  91 PRS: 101382 TMP: 7.2 TS: 993846549075 RSSI: -94 FPPL: -104 CSQ: 100
SRC:   226 2021-10-17 08:18:17.292 UWB CNT: 11, DSTR: false, MODE: MOV, EXC: 0 WID:   222 GID:   228 BAT:  91 PRS: 101382 TMP: 7.2 TS: 993846551728 RSSI: -95 FPPL: -99 CSQ: 100
SRC:   213 2021-10-17 08:18:17.304 UWB CNT: 11, DSTR: false, MODE: MOV, EXC: 0 WID:   222 GID:   228 BAT:  91 PRS: 101382 TMP: 7.2 TS: 993846551247 RSSI: -96 FPPL: -107 CSQ: 100
SRC:   218 2021-10-17 08:18:22.263 UWB CNT: 12, DSTR: false, MODE: MOV, EXC: 0 WID:   222 GID:   228 BAT:  91 PRS: 101384 TMP: 7.3 TS: 215396569848 RSSI: -100 FPPL: -113 CSQ: 0
SRC:   225 2021-10-17 08:18:22.264 UWB CNT: 12, DSTR: false, MODE: MOV, EXC: 0 WID:   222 GID:   228 BAT:  91 PRS: 101384 TMP: 7.3 TS: 215396568943 RSSI: -95 FPPL: -101 CSQ: 100
SRC:   212 2021-10-17 08:18:22.312 UWB CNT: 12, DSTR: false, MODE: MOV, EXC: 0 WID:   222 GID:   228 BAT:  91 PRS: 101384 TMP: 7.3 TS: 215396569502 RSSI: -91 FPPL: -97 CSQ: 100
SRC:   226 2021-10-17 08:18:22.318 UWB CNT: 12, DSTR: false, MODE: MOV, EXC: 0 WID:   222 GID:   228 BAT:  91 PRS: 101384 TMP: 7.3 TS: 215396572113 RSSI: -93 FPPL: -98 CSQ: 100
SRC:   213 2021-10-17 08:18:22.329 UWB CNT: 12, DSTR: false, MODE: MOV, EXC: 0 WID:   222 GID:   228 BAT:  91 PRS: 101384 TMP: 7.3 TS: 215396571712 RSSI: -95 FPPL: -99 CSQ: 100
SRC:   218 2021-10-17 08:18:27.386 UWB CNT: 13, DSTR: false, MODE: MOV, EXC: 0 WID:   222 GID:   228 BAT:  91 PRS: 101381 TMP: 7.3 TS: 542735916978 RSSI: -100 FPPL: -109 CSQ: 0
SRC:   225 2021-10-17 08:18:27.387 UWB CNT: 13, DSTR: false, MODE: MOV, EXC: 0 WID:   222 GID:   228 BAT:  91 PRS: 101381 TMP: 7.3 TS: 542735916099 RSSI: -94 FPPL: -97 CSQ: 100
